Time (s),X (�T),Y (�T),Z (�T)
98.57390754,20.30643654,20.43241882,-19.00076294
98.90436154,21.22937584,20.29437256,-18.46136475
99.23481192,19.88144875,20.33026886,-19.33251953
99.56526592,26.54110718,10.78862,-18.8855896
99.89571892,26.88984871,5.649200439,-19.75186157
100.2261742,25.04177094,2.849990845,-21.67324829
100.5566282,20.31028366,-3.046005249,-26.31500244
100.8870822,17.07155228,-2.904167175,-28.73324585
101.2175358,15.58846092,-4.154449463,-28.28009033
101.5479888,15.68958759,-5.609146118,-28.26254272
101.8784428,15.07901573,-5.657577515,-28.96499634
102.2088967,14.7861557,-9.665733337,-28.12808228
102.5393497,28.21106911,12.84132385,-14.76004028
102.8698027,25.99384689,13.66658783,-17.08230591
103.2002588,25.88442993,13.12723541,-17.7878418
103.5307118,27.73726654,9.120330811,-18.02032471
103.8611648,30.04352188,1.675254822,-15.85217285
104.1916149,29.83520126,0.794013977,-17.17770386
104.5220679,27.10377884,2.540901184,-21.26620483
104.8525209,25.03299332,6.023231506,-22.93240356
105.1829749,24.06846046,7.473060608,-22.80957031
105.5134272,23.10668945,9.604415894,-23.58087158
105.8438802,22.38817024,4.260032654,-24.75448608
106.1743332,19.64471817,4.958686829,-26.98330688
106.5047852,22.93838501,6.33039093,-24.57751465
106.8352382,22.90600014,8.418029785,-23.61410522
107.1656912,25.15175819,4.946365356,-22.18032837
107.4961482,25.26137352,2.785507202,-22.32028198
107.8266012,26.17170715,1.452041626,-21.64215088
108.1570542,26.06119728,1.20615387,-22.36721802
108.4875017,25.88134575,2.653335571,-21.96490479
108.8179547,30.36690903,1.698722839,-16.08099365
109.1484077,27.19115448,5.344230652,-19.46392822
109.4788622,26.04615021,2.718795776,-21.48144531
109.8093142,15.14453411,-12.75894165,-28.26141357
110.1397672,10.8915844,-14.89204407,-29.5824585
110.4702194,8.573172569,-14.83733368,-30.84646606
110.8006724,5.18885994,-16.17303467,-32.13265991
111.1311254,-0.358661652,-13.64600372,-33.47833252
111.4615783,4.709682465,-8.022117615,-34.52285767
111.7920313,11.57016563,37.94884491,-3.892272949
112.1224853,10.49545097,36.8272171,-6.390075684
112.4529383,15.11751556,34.34021378,-9.746337891
112.7833923,27.27228546,25.21109009,-10.58117676
113.1138453,25.77811623,22.57642365,-15.94967651
113.4443015,26.7804451,20.27262878,-17.4944458
113.7747545,29.49931717,16.60619354,-17.07568359
114.1052085,28.51714325,15.98191833,-18.77481079
114.4356589,23.96016693,20.35546112,-20.84628296
114.7661129,23.36401939,20.3381424,-20.72927856
115.0965659,22.17569542,22.03240967,-20.16967773
115.4270192,22.08158112,22.09117126,-20.79403687
115.7574732,20.52165794,23.08095551,-21.22351074
116.0879262,20.73166466,23.26673126,-21.16207886
116.418383,21.30174637,23.52761078,-20.23068237
116.748836,23.94179344,23.06729126,-18.21270752
117.079289,25.88136864,21.66822052,-17.17739868
117.4097394,25.49584198,22.18473816,-16.9175415
117.7401924,26.83620453,21.83719635,-15.07574463
118.0706454,29.33648109,20.34941101,-12.93655396
118.4010976,30.34747314,20.33243561,-11.70349121
118.7315506,31.46676636,18.12719727,-12.80627441
119.0620046,31.96353912,17.46593475,-11.28213501
119.3924585,31.67788696,18.31778717,-10.88708496
119.7229115,31.95026588,19.11330414,-9.395874023
120.0533645,32.46889496,18.335289,-8.763549805
120.3838175,32.11418915,18.64571381,-9.360015869
120.7142705,32.04693604,18.92541504,-8.44934082
121.0447235,31.47689438,20.31509399,-8.737976074
121.3751757,29.8538208,22.17608643,-9.91317749
121.7056287,29.15349579,22.48943329,-10.62734985
122.0360817,28.86452484,23.05522156,-10.8734436
122.3665358,26.44425964,25.04255676,-11.32717896
122.6969888,22.4691143,27.90332031,-12.24209595
123.0274418,20.85026932,29.28171158,-13.46389771
123.3578945,16.08252716,33.42218399,-9.756835938
123.6883475,12.58080196,34.65652847,-9.779754639
124.0188005,11.6053896,36.14142609,-6.952728271
124.3492535,11.27973175,36.65157318,-3.633331299
124.6797055,13.65814972,36.88975906,0.589111328
125.0101585,1.506635666,39.70382309,5.919494629
125.340611,2.051954269,39.55562592,7.226654053
125.671064,-0.678024292,39.77619934,5.160949707
126.001517,-2.027542114,40.0872612,4.738342285
126.3319702,-4.203536987,39.40283585,3.104766846
126.6624232,-6.207813263,39.10900116,3.565734863
126.9928762,-8.587892532,38.87737656,5.424377441
127.3233291,-10.2349987,38.57034302,5.933288574
127.6537821,-8.226703644,39.29838562,6.149902344
127.9842351,-5.723064423,39.59883118,5.743286133
128.3146877,-9.336509705,38.92902374,7.789581299
128.6451407,-9.477558136,38.8878746,8.13659668
128.9755937,-11.07811165,38.29127502,7.96105957
129.3060474,-10.77728081,38.6582222,7.173095703
129.6365004,0.041185379,39.95045471,5.081604004
129.9669534,7.299968719,38.81037903,-0.7059021
130.2974072,4.483430862,39.30970001,1.19921875
130.6278602,-5.148979187,38.99234772,1.917358398
130.9583132,-12.80568504,37.17066193,-0.574981689
131.2887656,-15.52498436,36.62125015,1.027069092
131.6192186,-14.22089577,36.62814331,-0.136962891
131.9496716,-13.17997551,37.42427063,1.528594971
132.2801237,-14.09970284,37.29619598,1.788482666
132.6105767,-14.67399788,37.05470657,0.641723633
132.9410287,-13.61318779,37.19992447,1.566986084
133.2714822,-12.66742134,37.76583862,2.247406006
133.6019352,-11.15975761,37.94841385,2.312591553
133.9323882,-10.5086422,38.35994339,2.499481201
134.2628413,-9.261198044,38.59128571,2.52053833
134.5932933,-7.722373962,38.79953384,1.222106934
134.9237463,-7.650653839,38.19166946,-1.927825928
135.254199,-10.03806686,37.79431152,-1.49319458
135.584652,-7.699108124,38.20701981,-2.035583496
135.915105,-3.606031418,38.44766235,-3.789215088
136.2455585,14.83985519,33.90546036,-9.447540283
136.5760105,24.53554535,25.4465332,-12.53897095
136.9064635,27.20307922,20.02471161,-15.31072998
137.2369163,27.60211945,18.34394836,-15.97106934
137.5673683,25.5055275,18.58765411,-19.1998291
137.8978213,21.56087875,21.21273041,-20.85153198
138.2282734,21.07309532,27.32777405,-13.86572266
138.5587264,5.228563309,37.01554871,-7.329162598
138.8891794,3.525571823,37.29694366,-6.573394775
139.2196314,-0.630521774,36.98237991,-7.182342529
139.5500848,-7.683742523,36.52780914,-6.589538574
