Time (s),X (µT),Y (µT),Z (µT)
59.07915837,-35.02516174,-18.28922272,12.1421814
59.40961438,-34.76424408,-17.78322601,14.30160522
59.74007038,-32.30310822,-19.42470551,18.36889648
60.07052738,-33.44544983,-21.20309448,12.39810181
60.40098338,-39.56629181,-5.281898499,8.55166626
60.73143963,-22.54424477,29.95137024,13.98809814
61.06189563,-17.72297859,33.56092834,10.93936157
61.39235263,-20.44186592,32.33787537,12.83337402
61.72280954,-20.7851162,32.19975662,12.67623901
62.05326554,-21.98813438,32.02550888,11.54193115
62.38372254,-25.81233025,29.4609108,7.943603516
62.71418325,-36.42588806,16.21155548,10.35565186
63.04464025,-39.45352173,7.225334167,11.20797729
63.37509725,-40.20004272,4.578895569,10.64385986
63.70555042,-40.83542633,-4.571350098,11.59695435
64.03600742,-38.57473755,-13.69580078,14.02526855
64.36646442,-37.42773438,-14.61558533,15.20257568
64.69692225,-36.50819397,-12.94671631,19.14416504
65.02738025,-36.31646729,-14.96434784,18.38232422
65.35783725,-35.92218781,-19.52457428,15.6762085
65.68829413,-35.52046204,-19.06684113,16.43118286
66.01875113,-35.30046844,-19.88772583,16.86294556
66.34920913,-35.34725952,-19.95155334,16.52890015
66.67966575,-34.11353302,-21.13433075,17.05178833
67.01012275,-33.44972992,-22.12966919,16.6993103
67.34058075,-33.41937256,-22.73674011,16.69570923
67.67103837,-31.34061623,-23.94641113,18.69381714
68.00149537,-33.40410614,-22.42682648,17.94851685
68.33195237,-32.87890625,-21.62860107,18.77310181
68.66241004,-33.1867218,-21.95329285,17.89837646
68.99286704,-32.44883728,-21.97917938,19.769104
69.32332504,-32.48711395,-22.30646515,19.58499146
69.65378204,-32.87195587,-21.79373932,19.34176636
69.98424025,-32.64079285,-22.00539398,19.36355591
70.31469725,-32.11915588,-22.18917084,20.11141968
70.64515525,-32.26018524,-22.259758,19.87545776
70.97561204,-31.20084572,-23.27670288,20.02859497
71.30607004,-33.01053619,-22.49744415,18.50152588
71.63652704,-31.96220207,-25.93972778,13.71798706
71.96698829,-30.76228905,25.64486694,21.74642944
72.29744529,-8.656366348,39.3914299,18.43185425
72.62790329,-7.179243088,39.90110397,16.50976563
72.95835717,-5.329088211,41.02338791,13.9911499
73.28881517,-9.481636047,40.25244904,14.35198975
73.61927217,-26.13055992,32.03880692,12.6557312
73.94973379,-35.51394653,22.51808167,5.791564941
74.28019079,-38.46015167,16.86610413,6.933868408
74.61064879,-40.20838928,13.32710266,8.88293457
74.94110163,-40.54829407,9.696182251,12.96716309
75.27155863,-39.15218353,10.15422058,16.46032715
